Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Whey,Dairy,0.047,27.0,5.1,0.002,0.36,0.0,0.008,0.161,0.85,0.054,5.1
Egg white,Dairy,0.007,52.0,0.73,0.0,0.17,0.0,0.011,0.163,11.0,0.166,0.71
Yolk,Dairy,0.129,322.0,3.6,1.085,27.0,0.0,0.005,0.109,16.0,0.048,0.56
Egg,Dairy,0.05,155.0,1.1,0.373,11.0,0.0,0.01,0.126,13.0,0.124,1.1
Omelette,Dairy,0.048,154.0,0.64,0.313,12.0,0.0,0.011,0.117,11.0,0.155,0.31
Duck egg,Dairy,0.064,185.0,1.5,0.884,14.0,0.0,0.017,0.222,13.0,0.146,0.93
Goose egg,Dairy,0.06,185.0,1.4,0.852,13.0,0.0,0.016,0.21,14.0,0.138,0.94
Quail egg,Dairy,0.064,158.0,0.41,0.844,11.0,0.0,0.013,0.132,13.0,0.141,0.4
Turkey egg,Dairy,0.099,171.0,1.2,0.933,12.0,0.0,0.013,0.142,14.0,0.151,0.0
Butter,Dairy,0.024,717.0,0.06,0.215,81.0,0.0,0.002,0.024,0.85,0.011,0.06
Goat cheese,Dairy,0.298,364.0,0.12,0.079,30.0,0.0,0.029,0.158,22.0,0.415,0.12
Mexican Cheese queso chihuahua,Dairy,0.651,374.0,5.6,0.105,30.0,0.0,0.023,0.052,22.0,0.617,5.6
Sour cream,Dairy,0.141,181.0,7.0,0.035,14.0,0.0,0.011,0.211,7.0,0.07,0.3
Parmigiano-Reggiano,Dairy,1.109,265.0,1.4,0.088,20.0,0.0,0.038,0.125,20.0,1.529,0.0
Powdered milk,Dairy,0.912,496.0,38.0,0.097,27.0,0.0,0.085,1.33,26.0,0.371,38.0
Dulce de Leche,Dairy,0.251,315.0,55.0,0.029,7.4,0.0,0.022,0.35,6.8,0.129,50.0
Soft serve,Dairy,0.131,222.0,22.0,0.091,13.0,0.7,0.012,0.177,4.1,0.061,21.0
Ice cream sandwich,Dairy,0.086,237.0,37.0,0.021,8.6,0.0,0.029,0.115,4.3,0.129,19.0
American cheese,Dairy,1.045,371.0,3.7,0.1,32.0,0.0,0.026,0.132,18.0,1.671,2.3
Yogurt,Dairy,0.11,59.0,3.6,0.005,0.39,0.0,0.011,0.141,10.0,0.036,3.2
Cotija cheese,Dairy,0.8,366.0,4.0,0.1,30.0,0.0,0.038,0.125,20.0,1.4,0.0
Kefir,Dairy,0.13,41.0,4.5,0.005,0.93,0.0,0.012,0.164,3.8,0.04,4.6
Greek yogurt,Dairy,0.1,97.0,4.0,0.013,5.0,0.0,0.011,0.141,9.0,0.035,4.0
Ice cream sundae cone,Dairy,0.06,254.0,29.0,0.015,14.0,1.0,0.02,0.204,3.0,0.115,21.0
Coconut milk,Dairy,0.016,230.0,5.5,0.0,24.0,2.2,0.037,0.263,2.3,0.015,3.3
Mozzarella,Dairy,0.731,280.0,3.1,0.054,17.0,0.0,0.026,0.095,28.0,0.016,1.2
Shiitake,Mushrooms,0.002,34.0,6.8,0.0,0.49,2.5,0.02,0.304,2.2,0.009,2.4
Chanterelle,Mushrooms,0.015,38.0,6.9,0.0,0.53,3.8,0.013,0.506,1.5,0.009,1.2
True morels,Mushrooms,0.043,31.0,5.1,0.0,0.57,2.8,0.019,0.411,3.1,0.021,0.6
Portobello,Mushrooms,0.003,29.0,4.4,0.0,0.58,2.2,0.013,0.437,3.3,0.011,2.3
Edible mushroom,Mushrooms,0.003,22.0,3.3,0.0,0.34,1.0,0.009,0.318,3.1,0.005,2.0
Enoki mushrooms,Mushrooms,0.0,37.0,7.8,0.0,0.29,2.7,0.016,0.359,2.7,0.003,0.22
Truffle,Mushrooms,0.159,284.0,73.0,0.0,0.73,70.0,0.083,0.754,9.3,0.035,0.0
Maitake mushrooms,Mushrooms,0.001,31.0,7.0,0.0,0.19,2.7,0.01,0.204,1.9,0.001,2.1
Porridge,Grains,0.087,50.0,11.0,0.0,0.21,0.5,0.005,0.016,1.4,0.006,0.03
Oatmeal,Grains,0.08,68.0,12.0,0.0,1.4,1.7,0.026,0.061,2.4,0.049,0.46
Cereal,Grains,0.01,378.0,87.0,0.0,1.1,1.4,0.019,0.105,6.1,0.795,10.0
Chia seeds,Grains,0.631,486.0,42.0,0.0,31.0,34.0,0.335,0.407,17.0,0.016,0.0
Sesame,Grains,0.975,573.0,23.0,0.0,50.0,12.0,0.351,0.468,18.0,0.011,0.3
Sunflower seed,Grains,0.078,584.0,20.0,0.0,51.0,8.6,0.325,0.645,21.0,0.009,2.6
Pumpkin seed,Grains,0.055,446.0,54.0,0.0,19.0,18.0,0.262,0.919,19.0,0.018,0.0
Flax seeds,Grains,0.255,534.0,29.0,0.0,42.0,27.0,0.392,0.813,18.0,0.03,1.6
Adzuki bean,Grains,0.028,128.0,25.0,0.0,0.1,7.3,0.052,0.532,7.5,0.008,0.0
Baked beans,Grains,0.061,155.0,22.0,0.005,5.2,5.5,0.043,0.358,5.5,0.422,0.0
Black turtle bean,Grains,0.055,130.0,24.0,0.0,0.35,8.3,0.049,0.433,8.2,0.003,0.32
Cranberry beans,Grains,0.05,136.0,24.0,0.0,0.46,8.6,0.05,0.387,9.3,0.001,0.0
French beans,Grains,0.063,129.0,24.0,0.0,0.76,9.4,0.056,0.37,7.1,0.006,0.0
Great northern beans,Grains,0.068,118.0,21.0,0.0,0.45,7.0,0.05,0.391,8.3,0.002,0.0
Kidney beans,Grains,0.035,127.0,23.0,0.0,0.5,6.4,0.042,0.405,8.7,0.001,0.32
Navy beans,Grains,0.069,140.0,26.0,0.0,0.62,11.0,0.053,0.389,8.2,0.0,0.37
Pinto beans,Grains,0.046,143.0,26.0,0.0,0.65,9.0,0.05,0.436,9.0,0.001,0.34
Yellow beans,Grains,0.062,144.0,25.0,0.0,1.1,10.0,0.074,0.325,9.2,0.005,0.34
White beans,Grains,0.09,139.0,25.0,0.0,0.35,6.3,0.063,0.561,9.7,0.006,0.34
Fava beans,Grains,0.036,110.0,20.0,0.0,0.4,5.4,0.043,0.268,7.6,0.005,1.8
Chickpeas,Grains,0.049,164.0,27.0,0.0,2.6,7.6,0.048,0.291,8.9,0.007,4.8
Cowpea (Black-eyed pea),Grains,0.024,116.0,21.0,0.0,0.53,6.5,0.053,0.278,7.7,0.004,3.3
Lablab,Grains,0.04,117.0,21.0,0.0,0.58,0.0,0.082,0.337,8.1,0.007,0.0
Lentil,Grains,0.019,116.0,20.0,0.0,0.38,7.9,0.036,0.369,9.0,0.002,1.8
Lima bean,Grains,0.017,115.0,21.0,0.0,0.38,7.0,0.043,0.508,7.8,0.002,2.9
Lupin Bean,Grains,0.051,119.0,9.9,0.0,2.9,2.8,0.054,0.245,16.0,0.004,0.0
Mothbeans,Grains,0.003,117.0,21.0,0.0,0.55,0.0,0.104,0.304,7.8,0.01,0.0
