Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Creamsicle,Sweets,0.023,49.0,12.0,0.0,2.3,7.5,0.0,0.0,1.4,0.006,0.43
Chocolate,Sweets,0.056,546.0,61.0,0.008,31.0,7.0,0.146,0.559,4.9,0.024,48.0
Sugar substitute,Sweets,0.879,347.0,85.0,0.0,0.0,0.6,0.006,0.039,2.1,0.572,4.0
Agave nectar,Sweets,0.001,310.0,76.0,0.0,0.45,0.2,0.001,0.004,0.09,0.004,68.0
Stevia,Sweets,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payday,Sweets,0.094,490.0,53.0,0.0,25.0,3.8,0.09,0.725,13.0,0.231,40.0
Macaroon,Sweets,0.005,460.0,61.0,0.0,23.0,5.1,0.029,0.123,3.0,0.241,45.0
Grenadine,Sweets,0.006,268.0,67.0,0.0,0.0,0.0,0.004,0.028,0.0,0.027,47.0
Frozen yogurt,Sweets,0.1,127.0,22.0,0.013,3.6,0.0,0.01,0.156,3.0,0.063,20.0
Nougat,Sweets,0.032,398.0,92.0,0.0,1.7,3.3,0.032,0.105,3.3,0.033,45.0
Heart of palm,Sweets,0.018,115.0,26.0,0.0,0.2,1.5,0.01,1.806,2.7,0.014,17.0
Tabletop Sweeteners,Sweets,0.001,279.0,76.0,0.0,0.0,0.1,0.0,0.0,0.0,0.002,76.0
Lard,Oils and Sauces,0.0,902.0,0.0,0.095,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Russian dressing,Oils and Sauces,0.013,355.0,32.0,0.0,26.0,0.7,0.01,0.173,0.69,1.133,18.0
Thousand island,Oils and Sauces,0.017,379.0,15.0,0.026,35.0,0.8,0.008,0.107,1.1,0.962,15.0
French dressing,Oils and Sauces,0.011,222.0,31.0,0.0,12.0,1.5,0.008,0.107,0.58,0.838,17.0
Italian dressing,Oils and Sauces,0.015,102.0,10.0,0.0,6.7,0.0,0.004,0.09,0.39,0.891,9.2
Soybean oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice bran oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat germ oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Peanut oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Coconut oil,Oils and Sauces,0.001,892.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
Olive oil,Oils and Sauces,0.001,884.0,0.0,0.0,100.0,0.0,0.0,0.001,0.0,0.002,0.0
Palm oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Sesame oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocoa butter,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottonseed oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Safflower oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Grape seed oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Walnut oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Babassu oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue cheese dressing,Oils and Sauces,0.037,484.0,4.8,0.031,51.0,0.4,0.008,0.088,1.4,0.642,3.5
Sunflower oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Duck fat,Oils and Sauces,0.0,882.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Avocado oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Canola oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustard oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Salmon oil,Oils and Sauces,0.0,902.0,0.0,0.485,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish oil,Oils and Sauces,0.0,902.0,0.0,0.71,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarine,Oils and Sauces,0.003,717.0,0.7,0.0,81.0,0.0,0.003,0.018,0.16,0.002,0.0
Spread,Oils and Sauces,0.0,158.0,0.0,0.0,17.0,0.0,0.0,0.012,0.0,0.755,0.0
Honey mustard,Oils and Sauces,0.067,207.0,28.0,0.0,10.0,0.8,0.012,0.055,0.98,0.701,18.0
Benecol,Oils and Sauces,0.004,357.0,5.7,0.0,39.0,0.0,0.001,0.004,0.0,0.67,0.0
Poppy seed dressing,Oils and Sauces,0.059,399.0,24.0,0.015,33.0,0.3,0.009,0.061,0.92,0.933,23.0
Ceasar dressing,Oils and Sauces,0.033,131.0,31.0,0.001,0.23,0.2,0.004,0.048,1.5,1.265,8.8
Flaxseed oil,Oils and Sauces,0.009,878.0,0.39,0.0,99.0,0.0,0.015,0.031,0.37,0.006,0.0
Barbecue sauce,Oils and Sauces,0.033,172.0,41.0,0.0,0.63,0.9,0.013,0.232,0.82,1.027,33.0
Béchamel sauce,Oils and Sauces,0.126,105.0,7.4,0.008,6.7,0.1,0.015,0.163,3.8,0.328,4.8
Hot sauce,Oils and Sauces,0.008,11.0,1.8,0.0,0.37,0.3,0.005,0.144,0.51,2.643,1.3
Hoisin sauce,Oils and Sauces,0.032,220.0,44.0,0.003,3.4,2.8,0.024,0.119,3.3,1.615,27.0
Salsa,Oils and Sauces,0.012,36.0,7.0,0.0,0.2,1.4,0.016,0.27,1.5,0.43,0.0
Fish sauce,Oils and Sauces,0.043,35.0,3.6,0.0,0.01,0.0,0.175,0.288,5.1,7.851,3.6
Marinara sauce,Oils and Sauces,0.027,51.0,8.1,0.002,1.5,1.8,0.018,0.319,1.4,0.03,5.5
Olive,Oils and Sauces,0.088,115.0,6.3,0.0,11.0,3.2,0.004,0.008,0.84,0.735,0.0
Tomato paste,Oils and Sauces,0.036,82.0,19.0,0.0,0.47,4.1,0.042,1.014,4.3,0.059,12.0
Ketchup,Oils and Sauces,0.015,101.0,27.0,0.0,0.1,0.3,0.013,0.281,1.0,0.907,21.0
Wasabi,Oils and Sauces,0.128,109.0,24.0,0.0,0.63,7.8,0.069,0.568,4.8,0.017,0.0
Miso,Oils and Sauces,0.057,198.0,25.0,0.0,6.0,5.4,0.048,0.21,13.0,3.728,6.2
Soy milk,Oils and Sauces,0.025,54.0,6.3,0.0,1.8,0.6,0.025,0.118,3.3,0.051,4.0
Soy sauce,Oils and Sauces,0.033,53.0,4.9,0.0,0.57,0.8,0.074,0.435,8.1,5.493,0.4
Peanut butter,Oils and Sauces,0.049,598.0,22.0,0.0,51.0,5.0,0.168,0.558,22.0,0.017,10.0
Sweet and sour,Oils and Sauces,0.01,150.0,38.0,0.0,0.02,0.1,0.008,0.099,0.27,0.371,19.0
Cocktail sauce,Oils and Sauces,0.026,124.0,28.0,0.0,1.1,1.8,0.017,0.309,1.4,0.983,12.0
Green Goddess Dressing,Oils and Sauces,0.034,427.0,7.4,0.04,43.0,0.1,0.007,0.058,1.9,0.867,6.7
Tomato sauce,Oils and Sauces,0.014,24.0,5.3,0.0,0.3,1.5,0.015,0.297,1.2,0.011,3.6
Vegetable oil,Oils and Sauces,0.0,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple juice,Beverages,0.008,46.0,11.0,0.0,0.13,0.2,0.005,0.101,0.1,0.004,9.6
Orange juice,Beverages,0.011,45.0,10.0,0.0,0.2,0.2,0.011,0.2,0.7,0.001,8.4
Pineapple juice,Beverages,0.013,53.0,13.0,0.0,0.12,0.2,0.012,0.13,0.36,0.002,10.0
Carrot juice,Beverages,0.024,40.0,9.3,0.0,0.15,0.8,0.014,0.292,0.95,0.066,3.9
Tomato juice,Beverages,0.01,17.0,3.5,0.0,0.29,0.4,0.011,0.217,0.85,0.01,2.6
Beer,Beverages,0.004,43.0,3.6,0.0,0.0,0.0,0.006,0.027,0.46,0.004,0.0
Daiquiri,Beverages,0.003,186.0,6.9,0.0,0.06,0.1,0.002,0.021,0.06,0.005,5.6
Piña colada,Beverages,0.008,174.0,23.0,0.0,1.9,0.3,0.008,0.071,0.42,0.006,22.0
Tequila sunrise,Beverages,0.0,110.0,11.0,0.0,0.1,0.0,0.007,0.01,0.3,0.057,0.0
Monster energy drink,Beverages,0.0,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.075,1.4
Whiskey sour,Beverages,0.272,383.0,97.0,0.0,0.1,0.0,0.019,0.019,0.6,0.274,97.0
Creme de menthe,Beverages,0.0,371.0,42.0,0.0,0.3,0.0,0.0,0.0,0.0,0.005,42.0
SlimFast shake,Beverages,0.13,58.0,0.85,0.004,2.9,0.4,0.044,0.179,6.6,0.072,0.6
Fuze juice,Beverages,0.009,38.0,9.2,0.0,0.06,0.2,0.01,0.192,0.68,0.01,9.0
Gin,Beverages,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
Rum,Beverages,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0
Vodka,Beverages,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0
Whisky,Beverages,0.0,250.0,0.1,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.1
Wine,Beverages,0.008,83.0,2.7,0.0,0.0,0.0,0.011,0.099,0.07,0.005,0.79
Smoothie,Beverages,0.041,37.0,8.2,0.0,0.0,0.0,0.0,0.024,1.2,0.029,7.4
Red Wine,Beverages,0.008,85.0,2.6,0.0,0.0,0.0,0.012,0.127,0.07,0.004,0.62
Pinot noir,Beverages,0.0,82.0,2.3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Syrah wine,Beverages,0.0,83.0,2.6,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Zinfandel wine,Beverages,0.0,88.0,2.9,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Petite Sirah wine,Beverages,0.0,85.0,2.7,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
White wine,Beverages,0.009,82.0,2.6,0.0,0.0,0.0,0.01,0.071,0.07,0.005,0.96
Sangiovese wine,Beverages,0.0,86.0,2.6,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Carignan wine,Beverages,0.0,74.0,2.4,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Pinot Gris,Beverages,0.0,83.0,2.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Muller Thurgau,Beverages,0.0,76.0,3.5,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Carbonated water,Beverages,0.005,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.021,0.0
Gewürztraminer,Beverages,0.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Gewurztraminer,Beverages,0.0,108.0,2.6,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Semillon,Beverages,0.0,82.0,3.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Riesling,Beverages,0.0,80.0,3.7,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Sauvignon blanc,Beverages,0.0,81.0,2.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Ginger ale,Beverages,0.003,34.0,8.8,0.0,0.0,0.0,0.001,0.001,0.0,0.007,8.9
Iced tea,Beverages,0.003,36.0,9.1,0.0,0.0,0.0,0.001,0.019,0.0,0.021,9.1
Muscat wine,Beverages,0.0,82.0,5.2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Grape soda,Beverages,0.003,43.0,11.0,0.0,0.0,0.0,0.001,0.001,0.0,0.015,0.0
Sprite,Beverages,0.002,40.0,10.0,0.0,0.02,0.0,0.001,0.001,0.05,0.009,9.0
French wine,Beverages,0.0,86.0,3.7,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Red Bull Energy Drink,Beverages,0.006,43.0,10.0,0.0,0.0,0.0,0.019,0.003,0.46,0.039,10.0
Tonic water,Beverages,0.001,34.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.012,8.8
Chardonnay,Beverages,0.009,84.0,2.2,0.0,0.0,0.0,0.01,0.071,0.07,0.005,0.96
Chocolate syrup,Beverages,0.014,279.0,65.0,0.0,1.1,2.6,0.065,0.224,2.1,0.072,50.0
Oolong tea,Beverages,0.001,1.0,0.15,0.0,0.0,0.0,0.001,0.012,0.0,0.003,0.0
Green tea,Beverages,0.003,30.0,7.2,0.0,0.18,0.0,0.001,0.005,0.0,0.002,6.9
Minute maid lemonade,Beverages,0.002,46.0,12.0,0.0,0.0,0.0,0.002,0.01,0.0,0.006,12.0
Lemon tea,Beverages,0.0,2.0,0.41,0.0,0.0,0.0,0.0,0.037,0.0,0.001,0.0
Coffee,Beverages,0.002,1.0,0.0,0.0,0.02,0.0,0.003,0.049,0.12,0.002,0.0
Espresso,Beverages,0.002,9.0,1.7,0.0,0.18,0.0,0.08,0.115,0.12,0.014,0.0
Instant coffee,Beverages,0.004,2.0,0.34,0.0,0.0,0.0,0.004,0.03,0.1,0.004,0.0
Aloe vera juice,Beverages,0.008,15.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.008,3.8
Mocha,Beverages,0.271,460.0,74.0,0.0,16.0,1.9,0.068,1.033,5.3,0.317,58.0
Malt beer,Beverages,0.004,68.0,10.0,0.0,0.0,0.0,0.004,0.027,0.0,0.005,9.8
Cranberry juice,Beverages,0.003,54.0,14.0,0.0,0.1,0.0,0.001,0.014,0.0,0.002,12.0
Light beer,Beverages,0.004,46.0,0.77,0.0,0.0,0.0,0.005,0.021,0.25,0.004,0.09
Rose wine,Beverages,0.01,83.0,3.8,0.0,0.0,0.0,0.01,0.059,0.36,0.005,3.8
Lemonade,Beverages,0.004,40.0,10.0,0.0,0.04,0.0,0.002,0.015,0.07,0.004,10.0
Malt,Beverages,0.098,85.0,11.0,0.01,3.3,0.5,0.015,0.172,3.4,0.06,6.7
Black tea,Beverages,0.0,1.0,0.3,0.0,0.0,0.0,0.003,0.037,0.0,0.003,0.0
Tea,Beverages,0.003,1.0,0.17,0.0,0.0,0.0,0.002,0.018,0.06,0.004,0.02
Perrier,Beverages,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Coca-Cola,Beverages,0.002,37.0,9.6,0.0,0.02,0.0,0.0,0.002,0.07,0.004,9.0
Drinking water,Beverages,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.0
Water,Beverages,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.0
Coffee liqueur,Beverages,0.001,336.0,47.0,0.0,0.3,0.0,0.003,0.03,0.1,0.008,38.0
Liqueur,Beverages,0.016,327.0,21.0,0.058,16.0,0.0,0.002,0.032,2.8,0.092,20.0
Gatorade,Beverages,0.001,26.0,6.4,0.0,0.0,0.0,0.0,0.015,0.0,0.039,5.2
Powerade,Beverages,0.001,32.0,7.8,0.0,0.05,0.0,0.0,0.018,0.0,0.042,6.1
Absinthe,Beverages,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0
Roman chamomile,Beverages,0.002,1.0,0.2,0.0,0.0,0.0,0.001,0.009,0.0,0.001,0.0
Distilled beverage,Beverages,0.0,250.0,0.1,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0
Bottled water,Beverages,0.01,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0
Merlot,Beverages,0.008,83.0,2.5,0.0,0.0,0.0,0.012,0.127,0.07,0.004,0.62
Rockstar energy drink,Beverages,0.001,58.0,13.0,0.0,0.22,0.0,0.0,0.006,0.34,0.016,12.0
Horchata,Beverages,0.018,54.0,12.0,0.0,0.71,0.0,0.003,0.034,0.48,0.014,9.4
Rice milk,Beverages,0.118,47.0,9.2,0.0,0.97,0.3,0.011,0.027,0.28,0.039,5.3
Herbal tea,Beverages,0.008,0.0,0.0,0.0,0.0,0.0,0.003,0.02,0.0,0.004,0.0
V8 juice,Beverages,0.016,21.0,4.1,0.0,0.0,0.8,0.0,0.193,0.82,0.173,3.3
Juice,Beverages,0.002,54.0,13.0,0.0,0.0,0.2,0.003,0.042,0.2,0.002,9.4
Sake,Beverages,0.005,134.0,5.0,0.0,0.0,0.0,0.006,0.025,0.5,0.002,0.0
Grape juice,Beverages,0.012,62.0,15.0,0.0,0.0,0.0,0.01,0.09,0.0,0.01,15.0
Asparagus soup,Soups,0.023,69.0,8.5,0.004,3.3,0.4,0.003,0.138,1.8,0.669,0.72
Black bean soup,Soups,0.035,91.0,15.0,0.0,1.3,6.8,0.033,0.25,4.8,0.97,2.5
Soup beans,Soups,0.032,95.0,11.0,0.009,3.5,4.6,0.019,0.175,5.2,0.4,0.0
Celery soup,Soups,0.032,72.0,7.0,0.011,4.5,0.6,0.005,0.098,1.3,0.516,1.4
Broccoli cheese soup,Soups,0.032,81.0,9.7,0.004,3.6,0.0,0.0,0.234,1.6,0.661,2.4
Chicken cream soup,Soups,0.014,90.0,7.2,0.008,5.8,0.0,0.004,0.049,2.4,0.702,0.54
Chicken gumbo,Soups,0.019,45.0,6.7,0.003,1.1,1.6,0.003,0.06,2.1,0.693,1.9
Chicken rice soup,Soups,0.014,53.0,5.4,0.005,1.3,0.4,0.004,0.045,5.1,0.37,0.6
Chicken vegetable soup,Soups,0.014,33.0,4.7,0.003,0.73,0.9,0.008,0.133,2.0,0.229,1.0
Manhattan Clam Chowder,Soups,0.028,56.0,7.8,0.006,1.4,1.2,0.008,0.16,3.0,0.417,1.7
New England Clam Chowder,Soups,0.016,72.0,10.0,0.006,2.1,0.7,0.013,0.221,3.2,0.516,0.38
Lentil soup,Soups,0.017,56.0,8.2,0.003,1.1,0.0,0.009,0.144,3.7,0.532,0.0
Onion soup,Soups,0.022,46.0,6.7,0.0,1.4,0.7,0.002,0.056,3.1,0.516,2.7
Oyster stew,Soups,0.018,48.0,3.3,0.011,3.1,0.0,0.004,0.04,1.7,0.722,0.0
Potato soup,Soups,0.017,74.0,13.0,0.001,1.9,1.3,0.013,0.165,1.5,0.604,1.4
Creamy Shrimp Soup,Soups,0.014,72.0,6.5,0.013,4.1,0.2,0.007,0.047,2.2,0.685,0.0
Turkey soup,Soups,0.021,57.0,6.0,0.004,1.9,0.0,0.01,0.153,4.3,0.391,0.0
Chunky Beef Soup,Soups,0.013,66.0,10.0,0.006,1.1,0.6,0.002,0.14,4.0,0.338,0.67
Broth,Soups,0.187,267.0,18.0,0.013,14.0,0.0,0.056,0.309,17.0,23.875,17.0
Beef consomme,Soups,0.0,16.0,0.81,0.0,0.0,0.0,0.0,0.032,3.2,0.653,0.81
Teriyaki sauce,Soups,0.025,89.0,16.0,0.0,0.02,0.1,0.061,0.225,5.9,3.833,14.0
Au jus,Soups,0.004,16.0,2.5,0.0,0.2,0.0,0.002,0.081,1.2,0.478,0.0
Chicken gravy,Soups,0.01,48.0,5.3,0.005,2.6,0.1,0.003,0.042,0.71,0.389,0.3
Mushroom gravy,Soups,0.007,50.0,5.5,0.0,2.7,0.4,0.002,0.106,1.3,0.57,0.0
Onion gravy,Soups,0.28,322.0,68.0,0.002,3.0,6.0,0.034,0.262,9.0,4.186,0.0
Turkey gravy,Soups,0.004,51.0,5.1,0.002,2.1,0.4,0.002,0.109,2.6,0.577,0.21
Sofrito sauce,Soups,0.02,237.0,5.5,0.0,18.0,1.7,0.025,0.401,13.0,1.145,0.0
Spaghetti sauce,Soups,0.02,48.0,8.7,0.0,0.9,0.0,0.013,0.292,1.2,0.59,4.7
Plum sauce,Soups,0.012,184.0,43.0,0.0,1.0,0.7,0.012,0.259,0.89,0.538,0.0
Pizza sauce,Soups,0.054,54.0,8.7,0.0,1.2,2.0,0.021,0.354,2.2,0.348,3.8
Tomato bisque,Soups,0.031,96.0,18.0,0.004,2.0,0.8,0.007,0.325,1.8,0.698,0.0
Tabasco,Soups,0.012,12.0,0.8,0.0,0.76,0.6,0.012,0.128,1.3,0.633,0.13
Chicken soup,Soups,0.003,36.0,3.5,0.003,1.2,0.0,0.004,0.105,2.5,0.143,1.6
Fish soup,Soups,0.003,16.0,0.0,0.001,0.81,0.0,0.007,0.144,2.3,0.156,0.0
Oyster sauce,Soups,0.032,51.0,11.0,0.0,0.25,0.3,0.004,0.054,1.4,2.733,0.0
Shark fin soup,Soups,0.01,46.0,3.8,0.002,2.0,0.0,0.007,0.053,3.2,0.501,0.0
Bean and ham soup,Soups,0.038,81.0,14.0,0.002,1.0,4.0,0.019,0.158,4.2,0.187,3.2
Cream of Broccoli Soup,Soups,0.016,56.0,8.1,0.004,1.6,1.6,0.0,0.0,1.6,0.565,0.81
Cream of celery soup,Soups,0.075,66.0,5.9,0.013,3.9,0.3,0.009,0.125,2.3,0.272,0.0
Vegetable soup,Soups,0.02,65.0,12.0,0.0,0.9,2.1,0.025,0.433,2.2,0.385,4.3
Beef noodle soup,Soups,0.008,34.0,3.6,0.002,1.2,0.3,0.003,0.04,1.9,0.325,1.0
Minestrone,Soups,0.014,34.0,4.7,0.001,1.0,0.4,0.003,0.13,1.8,0.254,0.0
Cream of mushroom soup,Soups,0.007,39.0,3.3,0.0,2.6,0.3,0.002,0.031,0.66,0.34,0.2
Pea soup,Soups,0.012,61.0,9.9,0.0,1.1,1.9,0.015,0.071,3.2,0.336,3.2
Chicken noodle soup,Soups,0.002,23.0,3.7,0.004,0.55,0.1,0.003,0.013,0.84,0.229,0.31
Chicken tortilla soup,Soups,0.008,53.0,8.2,0.004,0.82,1.2,0.0,0.0,2.9,0.347,1.6
Bisque,Soups,0.016,50.0,9.6,0.002,1.0,0.2,0.004,0.169,0.92,0.424,0.0
Tomato soup,Soups,0.008,32.0,7.5,0.0,0.21,0.5,0.007,0.275,0.71,0.186,4.0
Ramen noodle soup,Soups,0.021,440.0,60.0,0.0,18.0,2.9,0.025,0.181,10.0,1.855,2.0
Chipotle salsa,Soups,0.0,25.0,6.3,0.0,0.0,3.1,0.0,0.0,0.0,0.719,6.3
Enchilada sauce,Soups,0.0,40.0,8.3,0.0,0.0,1.7,0.0,0.0,1.7,0.867,6.7
Picante sauce,Soups,0.0,25.0,6.3,0.0,0.0,3.1,0.0,0.0,0.0,0.688,6.3
Taco sauce,Soups,0.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813,6.3
Indian masala,Soups,0.022,57.0,11.0,0.0,0.88,2.6,0.0,0.0,3.3,0.092,2.3
Sriracha,Soups,0.018,93.0,19.0,0.0,0.93,2.2,0.016,0.321,1.9,2.124,15.0
Cheese sauce,Soups,0.204,438.0,61.0,0.023,18.0,1.0,0.036,0.428,7.7,3.202,10.0
Chowder,Soups,0.0,99.0,7.5,0.011,6.3,0.9,0.0,0.0,3.1,0.299,0.0
Alfredo sauce,Soups,0.467,535.0,37.0,0.056,36.0,2.0,0.032,0.254,15.0,2.59,5.4
Chili sauce,Soups,0.009,21.0,3.9,0.0,0.6,0.7,0.012,0.564,0.9,0.025,2.6
Worcestershire sauce,Soups,0.107,78.0,19.0,0.0,0.0,0.0,0.013,0.8,0.0,0.98,10.0
Dashi,Soups,0.187,438.0,65.0,0.013,14.0,0.2,0.056,0.309,17.0,1.067,14.0
Succotash,Soups,0.018,99.0,20.0,0.0,1.0,3.8,0.048,0.369,5.0,0.004,0.0
Egg Drop Soup,Soups,0.007,27.0,4.3,0.023,0.61,0.4,0.002,0.022,1.2,0.37,0.09
Hot and sour soup,Soups,0.019,39.0,4.4,0.021,1.2,0.5,0.009,0.055,2.6,0.376,0.42
Wonton soup,Soups,0.005,32.0,5.3,0.004,0.26,0.2,0.003,0.032,2.1,0.406,0.34
Tomatillo Salsa Verde,Soups,0.0,47.0,6.3,0.0,1.6,0.0,0.0,0.203,0.0,0.719,6.3
Tartar sauce,Soups,0.026,211.0,13.0,0.007,17.0,0.5,0.006,0.068,1.0,0.667,4.3
Potato flour,Baked Products,0.065,357.0,83.0,0.0,0.34,5.9,0.065,1.001,6.9,0.055,3.5
Corn pudding,Baked Products,0.039,131.0,17.0,0.072,5.0,1.2,0.015,0.176,4.4,0.282,6.6
Biscuit,Baked Products,0.235,353.0,45.0,0.003,16.0,1.5,0.018,0.121,7.0,0.58,2.2
Banana bread,Baked Products,0.021,326.0,55.0,0.043,11.0,1.1,0.014,0.134,4.3,0.302,0.0
Cornbread,Baked Products,0.135,330.0,54.0,0.057,9.6,2.3,0.017,0.133,6.6,0.599,16.0
Egg bread,Baked Products,0.093,287.0,48.0,0.051,6.0,2.3,0.019,0.115,9.5,0.38,1.8
Dough,Baked Products,0.052,272.0,52.0,0.0,2.4,2.2,0.032,0.117,11.0,0.602,4.6
French bread,Baked Products,0.047,319.0,62.0,0.0,2.1,3.1,0.031,0.14,13.0,0.72,3.6
Irish soda bread,Baked Products,0.081,290.0,56.0,0.018,5.0,2.6,0.023,0.266,6.6,0.398,0.0
Italian bread,Baked Products,0.078,271.0,50.0,0.0,3.5,3.2,0.027,0.11,8.8,0.55,3.2
Multigrain bread,Baked Products,0.111,288.0,47.0,0.0,4.6,8.1,0.085,0.25,15.0,0.414,6.9
Oat bread,Baked Products,0.065,236.0,40.0,0.0,4.4,4.5,0.035,0.147,10.0,0.353,7.7
Oatmeal bread,Baked Products,0.066,269.0,49.0,0.0,4.4,4.0,0.037,0.142,8.4,0.447,8.1
Pita bread,Baked Products,0.086,275.0,56.0,0.0,1.2,2.2,0.026,0.12,9.1,0.536,1.3
Protein bread,Baked Products,0.124,245.0,44.0,0.0,2.2,3.0,0.065,0.322,12.0,0.404,1.4
Pumpernickel bread,Baked Products,0.068,250.0,48.0,0.0,3.1,6.5,0.054,0.208,8.7,0.596,0.53
Raisin bread,Baked Products,0.066,274.0,52.0,0.0,4.4,4.3,0.026,0.227,7.9,0.347,5.7
Rye bread,Baked Products,0.073,259.0,48.0,0.0,3.3,5.8,0.04,0.166,8.5,0.603,3.9
White Bread,Baked Products,0.144,266.0,49.0,0.0,3.3,2.7,0.023,0.126,8.9,0.49,5.7
Bread crumbs,Baked Products,0.183,395.0,72.0,0.0,5.3,4.5,0.043,0.196,13.0,0.732,6.2
Bread sticks,Baked Products,0.022,412.0,68.0,0.0,9.5,3.0,0.032,0.124,12.0,0.713,1.3
Bread stuffing,Baked Products,0.097,386.0,76.0,0.001,3.4,3.2,0.04,0.246,11.0,1.405,8.3
Angel food cake,Baked Products,0.14,258.0,58.0,0.0,0.8,1.5,0.012,0.093,5.9,0.749,0.0
Carrot cake,Baked Products,0.172,415.0,79.0,0.0,9.8,0.0,0.008,0.169,5.1,0.567,0.0
Chocolate cake,Baked Products,0.06,371.0,53.0,0.058,15.0,1.6,0.032,0.14,5.3,0.315,0.0
White cake,Baked Products,0.09,356.0,63.0,0.001,10.0,1.0,0.012,0.099,4.4,0.284,57.0
Coffeecake,Baked Products,0.059,339.0,44.0,0.085,15.0,1.0,0.015,0.289,7.0,0.339,0.0
Fruitcake,Baked Products,0.033,324.0,62.0,0.005,9.1,3.7,0.016,0.153,2.9,0.101,27.0
